url,final_url,http_status,primary_kw,co_occurrence_terms,title,title_len,meta_desc_len,h1_count,h2_count,word_count,canonical,robots_noindex,ld_types,score_title,score_desc,score_headings,score_depth,score_schema,score_total,page_clicks,page_impressions,page_ctr,page_position,top_countries,recommendations
https://nrlc.ai/careers/,https://nrlc.ai/careers/,200,https://nrlc.ai/careers/,https|nrlc|ai|careers,Careers at NRLC.ai — AI SEO Jobs & LLM Roles,44,126,1,4,120,https://nrlc.ai/careers/,False,"BreadcrumbList,ListItem,Organization,SearchAction,WebPage,WebSite",0.5,0.5,0.0,0.15,0.0,0.255,0.0,1.0,0.0,2.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/careers/""). | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (120 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, careers."
https://nrlc.ai/en-us/services/llm-seeding/stoke-on-trent/,https://nrlc.ai/en-us/services/llm-seeding/stoke-on-trent/,200,https://nrlc.ai/en-us/services/llm-seeding/stoke-on-trent/,https|nrlc|ai|en|us|services|llm|seeding|stoke|trent,LLM Seeding & Citation Readiness in stoke-on-trent | NRLC.ai AI SEO,67,155,1,1,185,https://nrlc.ai/en-us/services/llm-seeding/stoke-on-trent/,False,"Answer,BreadcrumbList,City,Country,FAQPage,ListItem,LocalBusiness,Offer,OfferCatalog,Organization,PostalAddress,Question,SearchAction,Service,WebSite",0.0,0.5,0.0,0.23125,1.0,0.296,0.0,1.0,0.0,7.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/en-us/services/llm-seeding/stoke-on-trent/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (185 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, en, us, services."
https://nrlc.ai/en-gb/services/voice-search-optimization/colorado-springs/,https://nrlc.ai/en-gb/services/voice-search-optimization/colorado-springs/,200,https://nrlc.ai/en-gb/services/voice-search-optimization/colorado-springs/,https|nrlc|ai|en|gb|services|voice|search|optimization|colorado|springs,Voice Search & AI Assistant Optimization in colorado-springs | NRLC.ai AI SEO,77,165,1,1,184,https://nrlc.ai/en-gb/services/voice-search-optimization/colorado-springs/,False,"Answer,BreadcrumbList,City,Country,FAQPage,ListItem,LocalBusiness,OfferCatalog,Organization,PostalAddress,Question,SearchAction,Service,WebSite",0.0,0.0,0.6,0.23,1.0,0.316,0.0,4.0,0.0,24.25,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/en-gb/services/voice-search-optimization/colorado-springs/""). | Title too long (>65). Tighten to avoid truncation. | Meta description too long; tighten to 120–160. | Add primary keyword to meta description naturally. | Thin content (184 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, en, gb, services."
https://nrlc.ai/careers/higashimatsuyama/schema-engineer/,https://nrlc.ai/careers/higashimatsuyama/schema-engineer/,200,https://nrlc.ai/careers/higashimatsuyama/schema-engineer/,https|nrlc|ai|careers|higashimatsuyama|schema|engineer,Schema/JSON-LD Engineer Jobs in higashimatsuyama | NRLC.ai Careers,66,153,1,6,647,https://nrlc.ai/careers/higashimatsuyama/schema-engineer/,False,"BreadcrumbList,City,Country,EducationalOccupationalCredential,JobPosting,ListItem,LocalBusiness,MonetaryAmount,OccupationalExperienceRequirements,Organization,Place,PostalAddress,QuantitativeValue,SearchAction,WebSite",0.0,0.5,0.0,0.80875,1.0,0.412,0.0,1.0,0.0,212.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/careers/higashimatsuyama/schema-engineer/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (647 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, careers, higashimatsuyama, schema."
https://nrlc.ai/en-us/careers/colorado-springs/technical-writer/,https://nrlc.ai/en-us/careers/colorado-springs/technical-writer/,200,https://nrlc.ai/en-us/careers/colorado-springs/technical-writer/,https|nrlc|ai|en|us|careers|colorado|springs|technical|writer,Technical Writer (AI/SEO) Jobs in colorado-springs | NRLC.ai Careers,68,155,1,6,652,https://nrlc.ai/en-us/careers/colorado-springs/technical-writer/,False,"BreadcrumbList,City,Country,EducationalOccupationalCredential,JobPosting,ListItem,LocalBusiness,MonetaryAmount,OccupationalExperienceRequirements,Organization,Place,PostalAddress,QuantitativeValue,SearchAction,WebSite",0.0,0.5,0.0,0.815,1.0,0.413,0.0,1.0,0.0,56.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/en-us/careers/colorado-springs/technical-writer/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (652 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, en, us, careers."
https://nrlc.ai/careers/colorado-springs/schema-engineer/,https://nrlc.ai/careers/colorado-springs/schema-engineer/,200,https://nrlc.ai/careers/colorado-springs/schema-engineer/,https|nrlc|ai|careers|colorado|springs|schema|engineer,Schema/JSON-LD Engineer Jobs in colorado-springs | NRLC.ai Careers,66,153,1,6,652,https://nrlc.ai/careers/colorado-springs/schema-engineer/,False,"BreadcrumbList,City,Country,EducationalOccupationalCredential,JobPosting,ListItem,LocalBusiness,MonetaryAmount,OccupationalExperienceRequirements,Organization,Place,PostalAddress,QuantitativeValue,SearchAction,WebSite",0.0,0.5,0.0,0.815,1.0,0.413,0.0,1.0,0.0,262.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/careers/colorado-springs/schema-engineer/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (652 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, careers, colorado, springs."
https://nrlc.ai/services/,https://nrlc.ai/services/,200,https://nrlc.ai/services/,https|nrlc|ai|services,AI SEO Services | NRLC.ai — Crawl Clarity & LLM Seeding,55,135,1,4,156,https://nrlc.ai/services/,False,"BreadcrumbList,ListItem,Offer,OfferCatalog,Organization,SearchAction,Service,WebSite",0.5,0.5,0.0,0.195,1.0,0.414,0.0,1.0,0.0,5.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/services/""). | Add primary keyword to meta description naturally. | Add primary keyword to H1 (keep human-readable). | Thin content (156 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, services."
https://nrlc.ai/services/voice-search-optimization/atlanta/,https://nrlc.ai/services/voice-search-optimization/atlanta/,200,https://nrlc.ai/services/voice-search-optimization/atlanta/,https|nrlc|ai|services|voice|search|optimization|atlanta,Voice Search & AI Assistant Optimization in atlanta | NRLC.ai AI SEO,68,156,1,1,182,https://nrlc.ai/services/voice-search-optimization/atlanta/,False,"Answer,BreadcrumbList,City,Country,FAQPage,ListItem,LocalBusiness,OfferCatalog,Organization,PostalAddress,Question,SearchAction,Service,WebSite",0.0,0.5,0.6,0.2275,1.0,0.415,0.0,1.0,0.0,4.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/services/voice-search-optimization/atlanta/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Thin content (182 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, services, voice, search."
https://nrlc.ai/ko-kr/services/voice-search-optimization/kawaguchi/,https://nrlc.ai/ko-kr/services/voice-search-optimization/kawaguchi/,200,https://nrlc.ai/ko-kr/services/voice-search-optimization/kawaguchi/,https|nrlc|ai|ko|kr|services|voice|search|optimization|kawaguchi,Voice Search & AI Assistant Optimization in kawaguchi | NRLC.ai AI SEO,70,158,1,1,182,https://nrlc.ai/ko-kr/services/voice-search-optimization/kawaguchi/,False,"Answer,BreadcrumbList,City,Country,FAQPage,ListItem,LocalBusiness,OfferCatalog,Organization,PostalAddress,Question,SearchAction,Service,WebSite",0.0,0.5,0.6,0.2275,1.0,0.415,0.0,1.0,0.0,6.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/ko-kr/services/voice-search-optimization/kawaguchi/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Thin content (182 words). Target 1000–1500 with semantic coverage: https, nrlc, ai, ko, kr, services."
https://nrlc.ai/es-es/services/voice-search-optimization/london/,https://nrlc.ai/es-es/services/voice-search-optimization/london/,200,https://nrlc.ai/es-es/services/voice-search-optimization/london/,es|https|nrlc|ai|services|voice|search|optimization|london,Voice Search & AI Assistant Optimization in london | NRLC.ai AI SEO,67,155,1,1,182,https://nrlc.ai/es-es/services/voice-search-optimization/london/,False,"Answer,BreadcrumbList,City,Country,FAQPage,ListItem,LocalBusiness,OfferCatalog,Organization,PostalAddress,Question,SearchAction,Service,WebSite",0.0,0.5,0.6,0.2275,1.0,0.415,0.0,1.0,0.0,9.0,,"Add primary keyword to <title> (primary: ""https://nrlc.ai/es-es/services/voice-search-optimization/london/""). | Title too long (>65). Tighten to avoid truncation. | Add primary keyword to meta description naturally. | Thin content (182 words). Target 1000–1500 with semantic coverage: es, https, nrlc, ai, services, voice."
