URL,"Current Locale","Is Local Page","Canonical Locale","Correct Canonical URL","Issue Type",Action
https://nrlc.ai/es-es/products/googlebot-renderer-lab/,es-es,no,es-es,https://nrlc.ai/,products_path,redirect_301_homepage
https://nrlc.ai/de-de/careers/,de-de,no,de-de,https://nrlc.ai/en-us/careers/,non_canonical_other,redirect_301_en_us
https://nrlc.ai/en-gb/services/claude-optimization/ulsan/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/claude-optimization/ulsan/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/competitor-analysis-ai/kawasaki/,fr-fr,yes,en-us,https://nrlc.ai/en-us/services/competitor-analysis-ai/kawasaki/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/training/sacramento/,es-es,yes,en-us,https://nrlc.ai/en-us/services/training/sacramento/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/local-seo-ai/iruma/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/local-seo-ai/iruma/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/explainability-optimization-ai/tokyo/,de-de,yes,en-us,https://nrlc.ai/en-us/services/explainability-optimization-ai/tokyo/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/competitor-analysis-ai/kawasaki/,es-es,yes,en-us,https://nrlc.ai/en-us/services/competitor-analysis-ai/kawasaki/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/conversion-optimization-ai/colorado-springs/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/conversion-optimization-ai/colorado-springs/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/claude-optimization/otsu/,de-de,yes,en-us,https://nrlc.ai/en-us/services/claude-optimization/otsu/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/featured-snippets-ai/huddersfield/,fr-fr,yes,en-gb,https://nrlc.ai/en-gb/services/featured-snippets-ai/huddersfield/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/multimodal-seo-ai/middlesbrough/,fr-fr,yes,en-gb,https://nrlc.ai/en-gb/services/multimodal-seo-ai/middlesbrough/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/multimodal-seo-ai/bucheon/,de-de,yes,en-us,https://nrlc.ai/en-us/services/multimodal-seo-ai/bucheon/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/chatgpt-optimization/akita/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/chatgpt-optimization/akita/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/analytics/sendai/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/analytics/sendai/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/chatgpt-optimization/hasuda/,de-de,yes,en-us,https://nrlc.ai/en-us/services/chatgpt-optimization/hasuda/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/conversational-seo-ai/sendai/,fr-fr,yes,en-us,https://nrlc.ai/en-us/services/conversational-seo-ai/sendai/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/voice-search-optimization/southend-on-sea/,en-gb,yes,en-gb,https://nrlc.ai/en-gb/services/voice-search-optimization/southend-on-sea/,canonical_local,keep_indexed
https://nrlc.ai/en-gb/services/retrieval-optimization-ai/ulsan/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/retrieval-optimization-ai/ulsan/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/accuracy-optimization-ai/niigata/,es-es,yes,en-us,https://nrlc.ai/en-us/services/accuracy-optimization-ai/niigata/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/schema-markup-ai/coventry/,de-de,yes,en-gb,https://nrlc.ai/en-gb/services/schema-markup-ai/coventry/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/ranking-optimization-ai/yokohama/,de-de,yes,en-us,https://nrlc.ai/en-us/services/ranking-optimization-ai/yokohama/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/chatgpt-optimization/warabi/,es-es,yes,en-us,https://nrlc.ai/en-us/services/chatgpt-optimization/warabi/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/technical-audit-ai/kingston/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/technical-audit-ai/kingston/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/structured-data-ai/asaka/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/structured-data-ai/asaka/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/analytics/sendai/,de-de,yes,en-us,https://nrlc.ai/en-us/services/analytics/sendai/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/ranking-optimization-ai/kazo/,fr-fr,yes,en-us,https://nrlc.ai/en-us/services/ranking-optimization-ai/kazo/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/ko-kr/services/explainability-optimization-ai/edmonton/,ko-kr,yes,en-us,https://nrlc.ai/en-us/services/explainability-optimization-ai/edmonton/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/fr-fr/services/competitor-analysis-ai/philadelphia/,fr-fr,yes,en-us,https://nrlc.ai/en-us/services/competitor-analysis-ai/philadelphia/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/ko-kr/services/verification-optimization-ai/asahikawa/,ko-kr,yes,en-us,https://nrlc.ai/en-us/services/verification-optimization-ai/asahikawa/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/ai-citation-optimization/cheongju/,de-de,yes,en-us,https://nrlc.ai/en-us/services/ai-citation-optimization/cheongju/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/featured-snippets-ai/nishinomiya/,es-es,yes,en-us,https://nrlc.ai/en-us/services/featured-snippets-ai/nishinomiya/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/ko-kr/services/entity-optimization-ai/coventry/,ko-kr,yes,en-gb,https://nrlc.ai/en-gb/services/entity-optimization-ai/coventry/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/llm-seeding/philadelphia/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/llm-seeding/philadelphia/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/explainability-optimization-ai/honjo/,de-de,yes,en-us,https://nrlc.ai/en-us/services/explainability-optimization-ai/honjo/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/entity-recognition-ai/kitchener/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/entity-recognition-ai/kitchener/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/ko-kr/services/metadata-optimization-ai/detroit/,ko-kr,yes,en-us,https://nrlc.ai/en-us/services/metadata-optimization-ai/detroit/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/competitor-analysis-ai/northampton/,de-de,yes,en-gb,https://nrlc.ai/en-gb/services/competitor-analysis-ai/northampton/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/entity-recognition-ai/kitchener/,de-de,yes,en-us,https://nrlc.ai/en-us/services/entity-recognition-ai/kitchener/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/content-optimization-ai/kitamoto/,de-de,yes,en-us,https://nrlc.ai/en-us/services/content-optimization-ai/kitamoto/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/services/chatgpt-optimization/akita/,es-es,yes,en-us,https://nrlc.ai/en-us/services/chatgpt-optimization/akita/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/llm-seeding/tampa/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/llm-seeding/tampa/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/verification-optimization-ai/tulsa/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/verification-optimization-ai/tulsa/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/es-es/insights/google-llms-txt-ai-seo/,es-es,no,es-es,https://nrlc.ai/en-us/insights/google-llms-txt-ai-seo/,non_canonical_global,redirect_301_en_us
https://nrlc.ai/fr-fr/insights/google-llms-txt-ai-seo/,fr-fr,no,fr-fr,https://nrlc.ai/en-us/insights/google-llms-txt-ai-seo/,non_canonical_global,redirect_301_en_us
https://nrlc.ai/en-gb/services/agentic-seo/baltimore/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/agentic-seo/baltimore/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/contextual-seo-ai/seongnam/,de-de,yes,en-us,https://nrlc.ai/en-us/services/contextual-seo-ai/seongnam/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/insights/google-llms-txt-ai-seo/,de-de,no,de-de,https://nrlc.ai/en-us/insights/google-llms-txt-ai-seo/,non_canonical_global,redirect_301_en_us
https://nrlc.ai/en-gb/insights/google-llms-txt-ai-seo/,en-gb,no,en-gb,https://nrlc.ai/en-us/insights/google-llms-txt-ai-seo/,non_canonical_global,redirect_301_en_us
https://nrlc.ai/de-de/services/international-seo/san-jose/,de-de,yes,en-us,https://nrlc.ai/en-us/services/international-seo/san-jose/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/ko-kr/services/agentic-seo/kumamoto/,ko-kr,yes,en-us,https://nrlc.ai/en-us/services/agentic-seo/kumamoto/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/content-optimization-ai/edmonton/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/content-optimization-ai/edmonton/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/mobile-seo-ai/san-jose/,de-de,yes,en-us,https://nrlc.ai/en-us/services/mobile-seo-ai/san-jose/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/de-de/services/ranking-optimization-ai/colorado-springs/,de-de,yes,en-us,https://nrlc.ai/en-us/services/ranking-optimization-ai/colorado-springs/,non_canonical_local,redirect_301_canonical
https://nrlc.ai/en-gb/services/ai-search-optimization/sakado/,en-gb,yes,en-us,https://nrlc.ai/en-us/services/ai-search-optimization/sakado/,non_canonical_local,redirect_301_canonical
