URL,Path,Pass1_Status,Pass2_Status,Pass3_Status,Overall_Status,HTTP_Code,Canonical_OK,Locale_OK,Slash_OK,Index_OK,Parent_OK,No_Orphan,Content_OK
https://nrlc.ai/en-us/generative-engine-optimization/,/en-us/generative-engine-optimization/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-diagnostics/,/en-us/ai-search-diagnostics/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-measurement/,/en-us/ai-search-measurement/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-strategy/,/en-us/ai-search-strategy/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-operations/,/en-us/ai-search-operations/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-migrations/,/en-us/ai-search-migrations/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-risk/,/en-us/ai-search-risk/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/ai-search-tools-reality/,/en-us/ai-search-tools-reality/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/field-notes/,/en-us/field-notes/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/glossary/,/en-us/glossary/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/generative-engine-optimization/failure-modes/,/en-us/generative-engine-optimization/failure-modes/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/generative-engine-optimization/failure-modes/canonical-drift/,/en-us/generative-engine-optimization/failure-modes/canonical-drift/,FAIL,SKIP,SKIP,FAILED,200,NO,YES,YES,YES,N/A,N/A,N/A
https://nrlc.ai/en-us/insights/content-chunking-seo/,/en-us/insights/content-chunking-seo/,PASS,FAIL,SKIP,FAILED,200,YES,YES,YES,YES,,1,N/A
https://nrlc.ai/en-us/insights/prechunking-content-ai-retrieval/,/en-us/insights/prechunking-content-ai-retrieval/,PASS,FAIL,SKIP,FAILED,200,YES,YES,YES,YES,,1,N/A
https://nrlc.ai/en-us/insights/ai-retrieval-llm-citation/,/en-us/insights/ai-retrieval-llm-citation/,PASS,FAIL,SKIP,FAILED,200,YES,YES,YES,YES,,1,N/A
https://nrlc.ai/en-us/ai-search-diagnostics/site-not-showing-in-ai-results/,/en-us/ai-search-diagnostics/site-not-showing-in-ai-results/,PASS,PASS,PASS,PASSED,200,YES,YES,YES,YES,1,1,1
https://nrlc.ai/en-us/ai-search-diagnostics/traffic-down-rankings-stable/,/en-us/ai-search-diagnostics/traffic-down-rankings-stable/,PASS,PASS,PASS,PASSED,200,YES,YES,YES,YES,1,1,1
https://nrlc.ai/en-us/ai-search-diagnostics/not-cited-in-ai-overviews/,/en-us/ai-search-diagnostics/not-cited-in-ai-overviews/,PASS,PASS,PASS,PASSED,200,YES,YES,YES,YES,1,1,1
https://nrlc.ai/en-us/ai-search-diagnostics/indexed-but-not-retrieved/,/en-us/ai-search-diagnostics/indexed-but-not-retrieved/,PASS,PASS,PASS,PASSED,200,YES,YES,YES,YES,1,1,1
https://nrlc.ai/en-us/ai-search-diagnostics/schema-stopped-working/,/en-us/ai-search-diagnostics/schema-stopped-working/,PASS,PASS,PASS,PASSED,200,YES,YES,YES,YES,1,1,1
https://nrlc.ai/en-us/ai-search-measurement/measuring-ai-visibility/,/en-us/ai-search-measurement/measuring-ai-visibility/,PASS,PASS,FAIL,FAILED,200,YES,YES,YES,YES,1,1,
