url,http_status,x_robots,robots_meta,canonical_found,canonical_expected,title,h1,wordcount,jsonld_types,issues,fixes,headline_suggestion
https://nrlc.ai/en-us/blog/blog-post-102/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-102/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-102/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 102"
https://nrlc.ai/en-us/blog/blog-post-121/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-121/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-121/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 121"
https://nrlc.ai/en-us/blog/blog-post-23/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-23/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-23/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 23"
https://nrlc.ai/en-us/blog/blog-post-328/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-328/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-328/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 328"
https://nrlc.ai/en-us/blog/blog-post-366/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-366/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-366/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 366"
https://nrlc.ai/en-us/blog/blog-post-380/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-380/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-380/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 380"
https://nrlc.ai/en-us/blog/blog-post-383/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-383/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-383/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 383"
https://nrlc.ai/en-us/blog/blog-post-411/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-411/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-411/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 411"
https://nrlc.ai/en-us/blog/blog-post-419/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-419/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-419/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 419"
https://nrlc.ai/en-us/blog/blog-post-473/,200,,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",https://nrlc.ai/,https://nrlc.ai/en-us/blog/blog-post-473/,"NRLC.ai — AI SEO & GEO-16 Framework | LLM Optimization",,93,Organization|WebSite|BreadcrumbList,"Canonical mismatch (https://nrlc.ai/) ; Low wordcount (93) ; Missing <h1>","Set canonical to self: https://nrlc.ai/en-us/blog/blog-post-473/ ; Expand unique body copy to 500–800+ words ; Add a clear <h1> matching page intent","Blog Post 473"
