URL,Locale,"Expected Locale","Is Canonical","Redirect Works","Canonical In Sitemap","Non-Canonical In Sitemap",Issues,Status
https://nrlc.ai/en-us/services/content-optimization-ai/sherbrooke/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/link-building-ai/southampton/,en-us,en-gb,No,Yes,Yes,No,,PASS
https://nrlc.ai/en-us/services/ai-search-optimization/raleigh/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/services/site-audits/san-francisco/,none,en-us,No,N/A,Yes,No,,PASS
https://nrlc.ai/en-us/services/ai-search-optimization/nashville/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/fr-fr/services/ai-overviews-optimization/omaha/,fr-fr,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/services/ai-search-optimization/ageo/,none,en-us,No,N/A,Yes,No,,PASS
https://nrlc.ai/en-us/services/llm-optimization/new-york/,en-us,en-gb,No,Yes,Yes,No,,PASS
https://nrlc.ai/services/llm-content-strategy/edmonton/,none,en-us,No,N/A,Yes,No,,PASS
https://nrlc.ai/en-us/services/llm-seeding/southport/,en-us,en-gb,No,Yes,Yes,No,,PASS
https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/llm-seeding/toronto/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/es-es/services/agentic-seo/new-york/,es-es,en-gb,No,Yes,Yes,No,,PASS
https://nrlc.ai/services/agentic-seo/singapore/,none,en-us,No,N/A,Yes,No,,PASS
https://nrlc.ai/en-us/services/training/tokyo/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/ai-search-optimization/portland/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/ecommerce-ai-seo/sherbrooke/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/competitor-analysis-ai/gimhae/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/en-us/services/ecommerce-ai-seo/victoria/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/services/entity-recognition-ai/edmonton/,none,en-us,No,N/A,Yes,No,,PASS
https://nrlc.ai/en-gb/services/json-ld-strategy/toronto/,en-gb,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/en-us/services/voice-search-optimization/seoul/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
http://nrlc.ai/en-us/services/analytics/seoul/,en-us,en-us,Yes,N/A,Yes,No,,PASS
https://nrlc.ai/en-us/services/crawl-clarity/yellowknife/,en-us,en-us,Yes,N/A,Yes,Yes,,PASS
https://nrlc.ai/es-es/services/entity-optimization-ai/whitehorse/,es-es,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/ko-kr/services/perplexity-optimization/whitehorse/,ko-kr,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/fr-fr/services/knowledge-graph-ai/trois-rivieres/,fr-fr,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/es-es/services/perplexity-optimization/trois-rivieres/,es-es,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/es-es/services/completeness-optimization-ai/trois-rivieres/,es-es,en-us,No,Yes,Yes,No,,PASS
https://nrlc.ai/ko-kr/services/retrieval-optimization-ai/trois-rivieres/,ko-kr,en-us,No,Yes,Yes,No,,PASS
