URL,Locale,"Country Target","City Target",Service,"Page Type","Expected Locale","Has Mismatch","In Sitemap","Canonical URL","Canonical In Sitemap",Issues,Status
https://nrlc.ai/en-us/services/content-optimization-ai/sherbrooke/,en-us,US,sherbrooke,content-optimization-ai,service_city,en-us,No,Yes,https://nrlc.ai/en-us/services/content-optimization-ai/sherbrooke/,Yes,,PASS
https://nrlc.ai/en-us/services/link-building-ai/southampton/,en-us,UK,southampton,link-building-ai,service_city,en-gb,Yes,No,https://nrlc.ai/en-gb/services/link-building-ai/southampton/,Yes,"Locale mismatch; Not in sitemap",FAIL
https://nrlc.ai/en-us/services/ai-search-optimization/raleigh/,en-us,US,raleigh,ai-search-optimization,service_city,en-us,No,Yes,https://nrlc.ai/en-us/services/ai-search-optimization/raleigh/,Yes,,PASS
https://nrlc.ai/services/site-audits/san-francisco/,none,US,san-francisco,site-audits,service_city,en-us,No,No,https://nrlc.ai/en-us/services/site-audits/san-francisco/,Yes,"Not in sitemap",FAIL
https://nrlc.ai/en-us/services/ai-search-optimization/nashville/,en-us,US,nashville,ai-search-optimization,service_city,en-us,No,Yes,https://nrlc.ai/en-us/services/ai-search-optimization/nashville/,Yes,,PASS
https://nrlc.ai/fr-fr/services/ai-overviews-optimization/omaha/,fr-fr,US,omaha,ai-overviews-optimization,service_city,en-us,Yes,No,https://nrlc.ai/en-us/services/ai-overviews-optimization/omaha/,Yes,"Locale mismatch; Not in sitemap",FAIL
https://nrlc.ai/services/ai-search-optimization/ageo/,none,US,ageo,ai-search-optimization,service_city,en-us,No,No,https://nrlc.ai/en-us/services/ai-search-optimization/ageo/,Yes,"Not in sitemap",FAIL
https://nrlc.ai/en-us/services/llm-optimization/new-york/,en-us,UK,new-york,llm-optimization,service_city,en-gb,Yes,No,https://nrlc.ai/en-gb/services/llm-optimization/new-york/,Yes,"Locale mismatch; Not in sitemap",FAIL
https://nrlc.ai/services/llm-content-strategy/edmonton/,none,US,edmonton,llm-content-strategy,service_city,en-us,No,No,https://nrlc.ai/en-us/services/llm-content-strategy/edmonton/,No,"Not in sitemap",FAIL
https://nrlc.ai/en-us/services/llm-seeding/southport/,en-us,UK,southport,llm-seeding,service_city,en-gb,Yes,No,https://nrlc.ai/en-gb/services/llm-seeding/southport/,Yes,"Locale mismatch; Not in sitemap",FAIL
https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,en-us,US,kingston,ai-overviews-optimization,service_city,en-us,No,Yes,https://nrlc.ai/en-us/services/ai-overviews-optimization/kingston/,Yes,,PASS
https://nrlc.ai/en-us/services/llm-seeding/toronto/,en-us,US,toronto,llm-seeding,service_city,en-us,No,Yes,https://nrlc.ai/en-us/services/llm-seeding/toronto/,Yes,,PASS
https://nrlc.ai/es-es/services/agentic-seo/new-york/,es-es,UK,new-york,agentic-seo,service_city,en-gb,Yes,No,https://nrlc.ai/en-gb/services/agentic-seo/new-york/,Yes,"Locale mismatch; Not in sitemap",FAIL
