URL,"Last Crawled","Issue Type","Canonical URL",Action,Status
https://nrlc.ai/de-de/services/personalization-ai/kumamoto/,2025-12-16,other,https://nrlc.ai/de-de/services/personalization-ai/kumamoto/,investigate,needs_fix
https://nrlc.ai/services/entity-recognition-ai/fujimi/,2025-12-16,missing_locale_prefix,https://nrlc.ai/en-us/services/entity-recognition-ai/fujimi/,redirect_301_locale,needs_fix
https://nrlc.ai/fr-fr/services/copilot-optimization/yokohama/,2025-12-16,other,https://nrlc.ai/fr-fr/services/copilot-optimization/yokohama/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/featured-snippets-ai/trois-rivieres/,2025-12-16,other,https://nrlc.ai/fr-fr/services/featured-snippets-ai/trois-rivieres/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/content-optimization-ai/otsu/,2025-12-16,other,https://nrlc.ai/fr-fr/services/content-optimization-ai/otsu/,investigate,needs_fix
https://nrlc.ai/products/newfaq/?q=%7Bsearch_term_string%7D,2025-12-16,missing_locale_prefix,https://nrlc.ai/en-us/products/newfaq/?q=%7Bsearch_term_string%7D,redirect_301_locale,needs_fix
https://nrlc.ai/es-es/services/claude-optimization/oshawa/,2025-12-16,other,https://nrlc.ai/es-es/services/claude-optimization/oshawa/,investigate,needs_fix
https://nrlc.ai/services/metadata-optimization-ai/takamatsu/,2025-12-16,missing_locale_prefix,https://nrlc.ai/en-us/services/metadata-optimization-ai/takamatsu/,redirect_301_locale,needs_fix
https://nrlc.ai/en-gb/services/topic-modeling-ai/okegawa/,2025-12-16,other,https://nrlc.ai/en-gb/services/topic-modeling-ai/okegawa/,investigate,needs_fix
https://nrlc.ai/es-es/services/metadata-optimization-ai/gimhae/,2025-12-16,other,https://nrlc.ai/es-es/services/metadata-optimization-ai/gimhae/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/intent-optimization-ai/yokohama/,2025-12-16,other,https://nrlc.ai/fr-fr/services/intent-optimization-ai/yokohama/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/perplexity-optimization/kelowna/,2025-12-16,other,https://nrlc.ai/ko-kr/services/perplexity-optimization/kelowna/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/technical-audit-ai/montreal/,2025-12-16,other,https://nrlc.ai/fr-fr/services/technical-audit-ai/montreal/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/ecommerce-ai-seo/bucheon/,2025-12-16,other,https://nrlc.ai/fr-fr/services/ecommerce-ai-seo/bucheon/,investigate,needs_fix
https://nrlc.ai/en-gb/services/trust-optimization-ai/incheon/,2025-12-16,other,https://nrlc.ai/en-gb/services/trust-optimization-ai/incheon/,investigate,needs_fix
https://nrlc.ai/es-es/services/claude-optimization/hamamatsu/,2025-12-16,other,https://nrlc.ai/es-es/services/claude-optimization/hamamatsu/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/technical-seo/wolverhampton/,2025-12-16,other,https://nrlc.ai/ko-kr/services/technical-seo/wolverhampton/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/ai-overviews-optimization/ulsan/,2025-12-16,other,https://nrlc.ai/fr-fr/services/ai-overviews-optimization/ulsan/,investigate,needs_fix
https://nrlc.ai/es-es/services/training/burnley/,2025-12-16,other,https://nrlc.ai/es-es/services/training/burnley/,investigate,needs_fix
https://nrlc.ai/de-de/services/generative-seo/mesa/,2025-12-16,other,https://nrlc.ai/de-de/services/generative-seo/mesa/,investigate,needs_fix
https://nrlc.ai/es-es/services/entity-optimization-ai/minneapolis/,2025-12-16,other,https://nrlc.ai/es-es/services/entity-optimization-ai/minneapolis/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/bard-optimization/kumamoto/,2025-12-16,other,https://nrlc.ai/ko-kr/services/bard-optimization/kumamoto/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/mobile-seo-ai/hamamatsu/,2025-12-16,other,https://nrlc.ai/fr-fr/services/mobile-seo-ai/hamamatsu/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/trust-optimization-ai/hiroshima/,2025-12-16,other,https://nrlc.ai/fr-fr/services/trust-optimization-ai/hiroshima/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/verification-optimization-ai/baltimore/,2025-12-16,other,https://nrlc.ai/ko-kr/services/verification-optimization-ai/baltimore/,investigate,needs_fix
https://nrlc.ai/es-es/services/conversational-seo-ai/windsor/,2025-12-16,other,https://nrlc.ai/es-es/services/conversational-seo-ai/windsor/,investigate,needs_fix
https://nrlc.ai/es-es/services/verification-optimization-ai/minneapolis/,2025-12-16,other,https://nrlc.ai/es-es/services/verification-optimization-ai/minneapolis/,investigate,needs_fix
https://nrlc.ai/de-de/services/entity-recognition-ai/boston/,2025-12-16,other,https://nrlc.ai/de-de/services/entity-recognition-ai/boston/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/llm-content-strategy/tucson/,2025-12-16,other,https://nrlc.ai/fr-fr/services/llm-content-strategy/tucson/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/claude-optimization/arlington/,2025-12-16,other,https://nrlc.ai/ko-kr/services/claude-optimization/arlington/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/multimodal-seo-ai/hamilton/,2025-12-16,other,https://nrlc.ai/ko-kr/services/multimodal-seo-ai/hamilton/,investigate,needs_fix
https://nrlc.ai/en-gb/services/b2b-seo-ai/washington/,2025-12-16,other,https://nrlc.ai/en-gb/services/b2b-seo-ai/washington/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/voice-search-optimization/cambridge/,2025-12-16,other,https://nrlc.ai/fr-fr/services/voice-search-optimization/cambridge/,investigate,needs_fix
https://nrlc.ai/es-es/services/schema-markup-ai/houston/,2025-12-16,other,https://nrlc.ai/es-es/services/schema-markup-ai/houston/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/contextual-seo-ai/cheonan/,2025-12-16,other,https://nrlc.ai/ko-kr/services/contextual-seo-ai/cheonan/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/explainability-optimization-ai/gimhae/,2025-12-16,other,https://nrlc.ai/fr-fr/services/explainability-optimization-ai/gimhae/,investigate,needs_fix
https://nrlc.ai/de-de/services/freshness-optimization-ai/regina/,2025-12-16,other,https://nrlc.ai/de-de/services/freshness-optimization-ai/regina/,investigate,needs_fix
https://nrlc.ai/ko-kr/services/llm-optimization/maebashi/,2025-12-16,other,https://nrlc.ai/ko-kr/services/llm-optimization/maebashi/,investigate,needs_fix
https://nrlc.ai/de-de/services/intent-optimization-ai/virginia-beach/,2025-12-16,other,https://nrlc.ai/de-de/services/intent-optimization-ai/virginia-beach/,investigate,needs_fix
https://nrlc.ai/fr-fr/services/copilot-optimization/miyashiro/,2025-12-16,other,https://nrlc.ai/fr-fr/services/copilot-optimization/miyashiro/,investigate,needs_fix
